"Module version","Version du module"
"Export configuration","Configuration de l'export"
"Export hour","Heure de l'export"
"<strong>Hour must be in 0-23 range.</strong><br/>This value corresponds to the time at which the export will take place. (24-hour notation). By default, export will take place at 2am.","<strong>L'heure doit être comprise entre 0 et 23.</strong><br/>Cette valeur correspond à l'heure à laquelle l'export s'exécutera (format 24h). Par défaut, l'export est programmé à 2h du matin."
"Mode","Mode"
"Delta: Export data based on the last export. If an entity has not been modified since last export, it will not be exported.<br/>Full: Export all data<br/><strong>Note: Delta mode only works for Order and Customer entity.<br/>Product and Category entities will always be on full mode.</strong>","Delta: Export basé sur le dernier export en date. Si une entité n'a pas été modifiée depuis le dernier export, elle ne sera pas exportée.<br/>Full: Exporte toutes les données.<br/><strong>Note: Le mode Delta fonctionne uniquement pour les entités Commande et Client.<br/>Les entités Produit et Catégorie s'exporteront toujours en mode Full.</strong>"
"Delete generated files","Supprimer les fichiers générés"
"Generated entity file contained in <root_magento>/var/export/follow-the-sun will be deleted after FTP deposit.","Les fichiers générés dans <root_magento>/var/export/follow-the-sun seront supprimés après dépôt sur le FTP."
"Entities export","Export des entités."
"Enable Product export","Activer l'export des produits"
"Enable Product Store export","Activer l'export des produits par vue"
"Enable Category export","Activer l'export des catégories"
"Enable Customer export","Activer l'export des clients"
"Enable Order export","Activer l'export des commandes"
"FTP Configuration","Configuration du FTP"
"Host","Hôte"
"Port","Port"
"Username","Identifiant"
"Password","Mot de passe"
"Path","Chemin"
"Debug","Debug"
"Enable Debug","Activer le mode debug"
"Logs will be available in <root_magento>/var/log/follow-the-sun-connector.log file","Les logs seront disponibles dans le fichier <root_magento>/var/log/follow-the-sun-connector.log"
"No","Non"
"Yes","Oui"
